id,name,name_en,country,province,longitude,latitude,timezone,population,capital
131,亚特兰大,Atlanta,United States,Georgia,-84.422,33.7628,America/New_York,5298788,admin
132,永州,Yongzhou,China,湖南,111.5953,26.4515,Asia/Shanghai,5289824,
133,Chattogram,Chattogram,Bangladesh,Chattogram,91.8325,22.335,Asia/Dhaka,5253312,admin
134,华盛顿,Washington,United States,District of Columbia,-77.0163,38.9047,America/New_York,5230370,primary
135,Kanpur,Kanpur,India,Gujarāt,72.6933,24.285,Asia/Kolkata,5230000,
136,运城,Yuncheng,China,山西,110.998,35.0304,Asia/Shanghai,5134779,
137,昭通,Zhaotong,China,云南,103.7144,27.3328,Asia/Shanghai,5092611,
138,桂林,Guilin,China,广西,110.2864,25.2819,Asia/Shanghai,5085500,minor
139,漳州,Zhangzhou,China,福建,117.6612,24.5093,Asia/Shanghai,5054328,minor
140,亳州,Bozhou,China,安徽,115.7742,33.8626,Asia/Shanghai,4996844,
141,平顶山,Pingdingshan,China,河南,113.2999,33.735,Asia/Shanghai,4987137,minor
142,宿迁,Suqian,China,江苏,118.2831,33.9331,Asia/Shanghai,4986192,
143,怀化,Huaihua,China,湖南,109.9592,27.5494,Asia/Shanghai,4979600,
144,迪拜,Dubai,United Arab Emirates,Dubayy,55.3094,25.2697,Asia/Dubai,4945000,admin
145,孝感,Xiaoganzhan,China,湖北,113.911,30.9273,Asia/Shanghai,4921000,
146,九江,Jiujiang,China,江西,116.0021,29.7048,Asia/Shanghai,4896800,minor
147,宜宾,Yibin,China,四川,104.64,28.7596,Asia/Shanghai,4887242,minor
148,绵阳,Mianyang,China,四川,104.7385,31.4669,Asia/Shanghai,4868243,minor
149,约翰内斯堡,Johannesburg,South Africa,Gauteng,28.0416,-26.2044,Africa/Johannesburg,4803262,admin
150,巴塞罗那,Barcelona,Spain,Catalonia,2.1769,41.3825,Europe/Madrid,4800000,admin
151,江门,Jiangmen,China,广东,113.0833,22.5833,Asia/Shanghai,4798090,minor
152,开普敦,Cape Town,South Africa,Western Cape,18.4239,-33.9253,Africa/Johannesburg,4770313,primary
153,长沙,Changsha,China,湖南,112.9709,28.1987,Asia/Shanghai,4766297,admin
154,郴州,Chenzhou,China,湖南,113.0267,25.7989,Asia/Shanghai,4744500,minor
155,吉达,Jeddah,Saudi Arabia,Makkah al Mukarramah,39.1728,21.5428,Asia/Riyadh,4697000,
156,渭南,Weinan,China,陕西,109.4684,34.4996,Asia/Shanghai,4688744,minor
157,柏林,Berlin,Germany,Berlin,13.3833,52.5167,Europe/Berlin,4679500,primary
158,Kanpur,Kanpur,India,Uttar Pradesh,80.3311,26.4725,Asia/Kolkata,4581268,
159,扬州,Yangzhou,China,江苏,119.4363,32.3912,Asia/Shanghai,4559797,
160,湖州,Taizhou,China,浙江,119.9,32.4831,Asia/Shanghai,4512762,minor
161,伊兹密尔,Izmir,Turkey,İzmir,27.1384,38.4127,Europe/Istanbul,4493242,admin
162,Belahi,Belahi,India,Bihār,86.4,25.7167,Asia/Kolkata,4487379,
163,衡水,Hengshui,China,河北,115.686,37.7348,Asia/Shanghai,4472000,minor
164,吉萨,Giza,Egypt,Al Jīzah,31.2118,29.987,Africa/Cairo,4458135,admin
